City,Cuisine,count
Amsterdam,Vietnamese,24
Bratislava,Hungarian,3
Brussels,International,74
London,Kosher,26
Lyon,Mediterranean,80
Lyon,German,2
Amsterdam,Ethiopian,14
Brussels,Pub,137
Brussels,Halal,43
Brussels,Dutch,1
Helsinki,Georgian,3
London,Scandinavian,18
Barcelona,Brazilian,23
Barcelona,Fast Food,281
Bratislava,Cuban,1
Copenhagen,Vegetarian Friendly,480
Dublin,Wine Bar,38
Geneva,Bar,57
Geneva,Eastern European,2
Helsinki,Vietnamese,20
Ljubljana,Contemporary,8
London,Austrian,9
Madrid,Barbecue,86
Amsterdam,Gastropub,20
Athens,Chinese,23
Bratislava,Portuguese,1
Brussels,Brew Pub,39
Copenhagen,Irish,5
Copenhagen,Moroccan,5
Geneva,Wine Bar,33
Lisbon,Italian,177
Athens,International,58
Dublin,Afghani,4
Geneva,Japanese,45
Helsinki,Czech,1
Helsinki,Gastropub,4
Lisbon,Mexican,13
Lyon,Healthy,29
Madrid,Lebanese,16
Athens,Russian,2
Barcelona,Vietnamese,19
Bratislava,Pizza,64
Budapest,European,1188
Krakow,Japanese,32
Lisbon,Albanian,1
London,Dutch,4
Amsterdam,Jamaican,4
Amsterdam,Russian,1
Athens,Seafood,74
Barcelona,Pub,278
Berlin,Wine Bar,68
Bratislava,American,26
Copenhagen,Greek,8
Copenhagen,Belgian,2
Dublin,Spanish,22
Geneva,Contemporary,21
Hamburg,Cafe,81
Hamburg,Turkish,30
Athens,Wine Bar,62
Berlin,Taiwanese,4
Lisbon,Vegan Options,336
Ljubljana,South American,2
Luxembourg,Moroccan,2
Amsterdam,Central American,9
Athens,South American,4
Barcelona,Turkish,35
Brussels,Grill,54
Budapest,Pizza,158
Geneva,Irish,2
Amsterdam,Eastern European,2
Barcelona,Central American,35
Bratislava,Czech,30
Copenhagen,Lebanese,11
Copenhagen,Jamaican,1
Dublin,Argentinean,2
Geneva,Swedish,1
Hamburg,Greek,72
Krakow,Central European,242
Lisbon,Fast Food,68
Lisbon,Tibetan,5
Madrid,Malaysian,1
Barcelona,Thai,42
Brussels,Chinese,88
Dublin,Mexican,40
Helsinki,American,47
Luxembourg,Grill,6
Barcelona,European,1688
Brussels,Scandinavian,2
Geneva,Malaysian,1
Krakow,Israeli,11
Amsterdam,Balti,5
Athens,Arabic,8
Barcelona,Moroccan,18
Bratislava,Indian,9
Bratislava,Egyptian,1
Copenhagen,Scandinavian,277
Geneva,Persian,5
Hamburg,Italian,269
Krakow,Kosher,12
Luxembourg,Brazilian,3
Madrid,Yunnan,1
Amsterdam,Sushi,86
Amsterdam,Danish,1
Athens,Scottish,1
Barcelona,Australian,2
Barcelona,Minority Chinese,4
Berlin,Guatemalan,2
Dublin,Barbecue,13
Edinburgh,American,73
Hamburg,International,109
Ljubljana,Pizza,56
Lyon,Spanish,38
Madrid,Russian,12
Berlin,Korean,46
Brussels,Bar,190
Budapest,International,312
Copenhagen,New Zealand,1
Helsinki,Central American,3
Lisbon,American,49
Ljubljana,Sushi,6
Madrid,Moroccan,12
Edinburgh,Vegetarian Friendly,877
Luxembourg,Peruvian,2
Lyon,Russian,6
Athens,Hawaiian,1
Berlin,African,21
Budapest,Irish,4
Copenhagen,Persian,1
Krakow,Bar,115
Luxembourg,Diner,1
Athens,American,48
Athens,Peruvian,2
Barcelona,Latin,132
Berlin,Hawaiian,2
Berlin,Filipino,3
Berlin,Colombian,1
Brussels,Brazilian,8
Edinburgh,British,654
Edinburgh,Fast Food,176
Geneva,Seafood,24
Geneva,Mexican,11
Geneva,Ethiopian,7
Hamburg,Contemporary,23
Luxembourg,African,1
Athens,Ethiopian,2
Barcelona,Mediterranean,2953
Copenhagen,Seafood,46
Geneva,Gluten Free Options,76
Geneva,Thai,45
Ljubljana,Thai,8
London,Belgian,15
Madrid,Georgian,4
Barcelona,Eastern European,12
Budapest,Central European,543
Copenhagen,Central European,8
Copenhagen,Thai,65
Hamburg,Fast Food,53
London,Delicatessen,112
London,Ecuadorean,2
Lyon,Persian,2
Athens,Turkish,8
Athens,Cafe,146
Krakow,Brew Pub,12
London,Contemporary,192
London,Spanish,300
London,Brazilian,57
Madrid,French,59
Edinburgh,Pub,261
Lisbon,Arabic,5
London,Korean,81
Amsterdam,Belgian,13
Amsterdam,Taiwanese,1
Barcelona,Spanish,2962
Brussels,Croatian,2
Copenhagen,Australian,3
Dublin,Vegetarian Friendly,704
Dublin,Healthy,49
Dublin,Pizza,144
Edinburgh,Street Food,13
Geneva,Egyptian,1
Hamburg,Mongolian,6
Krakow,Georgian,4
Lisbon,Delicatessen,15
Bratislava,Scottish,2
Budapest,Egyptian,1
Budapest,Ethiopian,1
Copenhagen,Vietnamese,25
Hamburg,Peruvian,5
Hamburg,Danish,1
Helsinki,Seafood,11
Helsinki,Sri Lankan,1
Lisbon,Nepali,49
London,Mediterranean,1583
Madrid,Delicatessen,68
Berlin,Portuguese,16
Brussels,Swiss,2
Dublin,Southwestern,1
Geneva,Scandinavian,2
Lisbon,Polish,1
Luxembourg,Halal,1
Lyon,Peruvian,3
Madrid,Grill,70
Athens,Vegetarian Friendly,430
Athens,Asian,49
Budapest,German,8
Madrid,Middle Eastern,41
Madrid,Afghani,3
Amsterdam,French,204
Athens,Korean,2
Barcelona,Tibetan,2
Bratislava,Street Food,12
Brussels,Central American,4
Budapest,Gluten Free Options,286
Budapest,Cajun & Creole,1
Copenhagen,Filipino,1
Geneva,American,34
Ljubljana,Bangladeshi,1
London,Southwestern,14
Amsterdam,Portuguese,10
Dublin,Bar,354
Geneva,Sushi,44
Ljubljana,Mediterranean,81
Madrid,Fusion,263
Geneva,African,11
Helsinki,Southwestern,5
Helsinki,Kosher,1
Krakow,Halal,7
Luxembourg,Japanese,34
Lyon,Brazilian,5
Budapest,Cafe,155
Hamburg,Gluten Free Options,70
Krakow,Gastropub,7
Krakow,Spanish,5
London,Ukrainian,1
Madrid,Fast Food,211
Amsterdam,Colombian,2
Berlin,Street Food,43
Berlin,Cuban,3
Bratislava,Austrian,2
Bratislava,Diner,8
Brussels,Vegetarian Friendly,672
Brussels,Cajun & Creole,2
Budapest,Mexican,38
Edinburgh,Turkish,33
Hamburg,Swedish,2
Ljubljana,Japanese,8
London,Brew Pub,52
Luxembourg,German,4
Berlin,Asian,514
Budapest,Norwegian,1
Hamburg,Cuban,2
Krakow,Soups,33
Madrid,Colombian,10
Amsterdam,Mexican,39
Brussels,Nepali,1
Copenhagen,Venezuelan,1
Dublin,American,85
Hamburg,Scandinavian,4
London,Central European,52
Madrid,Brazilian,28
Budapest,Turkish,30
Edinburgh,Brazilian,2
Geneva,Spanish,35
Helsinki,Soups,20
Lyon,Mexican,17
Amsterdam,Contemporary,52
Athens,German,5
Berlin,Chilean,4
Budapest,Pub,186
Copenhagen,Fusion,17
Copenhagen,Armenian,1
Hamburg,Jamaican,1
Helsinki,South American,7
Krakow,Azerbaijani,1
Lisbon,Mediterranean,922
Lisbon,Pizza,116
Lisbon,Cuban,3
Ljubljana,Gluten Free Options,61
Ljubljana,Soups,15
Luxembourg,Caribbean,1
Athens,Delicatessen,11
Budapest,Nepali,10
Edinburgh,Scottish,464
Krakow,Diner,13
Lisbon,Puerto Rican,2
Athens,Street Food,20
Berlin,Steakhouse,92
Bratislava,Greek,4
Brussels,Argentinean,7
Dublin,Israeli,1
Geneva,Latin,14
Geneva,Turkish,12
Helsinki,Fast Food,43
London,Georgian,2
Madrid,Indonesian,6
Amsterdam,Ecuadorean,1
Athens,Kosher,1
Athens,Colombian,1
Berlin,Chinese,119
Bratislava,Healthy,23
Budapest,Fusion,33
Copenhagen,Caucasian,1
Helsinki,Fusion,25
London,International,419
Madrid,Balti,1
Athens,Vegan Options,288
Berlin,Cafe,309
Berlin,Gastropub,26
Brussels,British,13
London,Pub,1806
Amsterdam,Cafe,317
Athens,Fast Food,83
Barcelona,Jamaican,1
Berlin,Russian,20
Berlin,Latvian,1
Brussels,Seafood,75
Budapest,Argentinean,2
Edinburgh,Mediterranean,92
Geneva,Steakhouse,30
London,Albanian,3
Lyon,Japanese,85
Amsterdam,Caribbean,14
Athens,Indian,28
Bratislava,Dutch,1
Budapest,African,1
Copenhagen,Central American,5
Dublin,Middle Eastern,32
Ljubljana,Mexican,10
Lyon,Cuban,1
Madrid,Taiwanese,7
Amsterdam,Brew Pub,4
Amsterdam,Brazilian,9
Athens,Italian,109
Berlin,Sushi,178
Budapest,Diner,14
Edinburgh,Middle Eastern,36
Helsinki,Scandinavian,204
Helsinki,Central European,12
Helsinki,International,44
Helsinki,Peruvian,1
Ljubljana,Vietnamese,1
Madrid,Healthy,164
Krakow,Arabic,2
Krakow,Chinese,17
Ljubljana,Delicatessen,2
London,Persian,81
London,Moroccan,51
Amsterdam,Pizza,182
Brussels,Cafe,76
Krakow,Pub,102
Amsterdam,Asian,352
Krakow,Dutch,1
Ljubljana,Lebanese,1
Luxembourg,Nepali,9
Lyon,Cambodian,6
Amsterdam,Irish,7
Amsterdam,Tunisian,2
Barcelona,Soups,49
Berlin,Central European,444
Brussels,Russian,1
Dublin,Italian,175
Geneva,International,56
London,Cafe,1506
Luxembourg,Korean,3
Luxembourg,Soups,9
Berlin,Pizza,342
Berlin,Grill,81
Budapest,Croatian,1
Copenhagen,International,67
Edinburgh,Malaysian,3
Geneva,Healthy,16
Hamburg,Vegan Options,128
Krakow,South American,4
Madrid,Hawaiian,5
Barcelona,Diner,40
Barcelona,Russian,7
Bratislava,Slovenian,5
Bratislava,Mexican,9
Bratislava,Armenian,1
Copenhagen,Ethiopian,2
Edinburgh,Mexican,25
Krakow,Healthy,35
Lisbon,Caribbean,5
Ljubljana,Vegetarian Friendly,123
Ljubljana,British,2
London,Pakistani,80
London,Cambodian,1
Athens,Gluten Free Options,125
Athens,Brew Pub,9
Bratislava,Bar,100
Edinburgh,Jamaican,2
Hamburg,Arabic,2
Geneva,Argentinean,3
Geneva,Vietnamese,7
Helsinki,Australian,4
London,Turkish,440
London,Armenian,6
Amsterdam,Vegetarian Friendly,1307
Amsterdam,Barbecue,84
Barcelona,Pizza,384
Berlin,Jamaican,3
Berlin,Malaysian,1
Copenhagen,Asian,185
Lisbon,Taiwanese,1
Lyon,Turkish,12
Amsterdam,Gluten Free Options,497
Amsterdam,Steakhouse,112
Bratislava,European,287
Edinburgh,European,311
Edinburgh,Sushi,30
Luxembourg,Asian,77
Madrid,Scandinavian,1
Athens,Diner,31
Barcelona,Swiss,3
Brussels,Italian,448
Copenhagen,Latin,18
London,Taiwanese,16
Bratislava,Turkish,3
Copenhagen,Wine Bar,41
Ljubljana,Steakhouse,10
Luxembourg,Chinese,34
Lyon,Fusion,21
Amsterdam,Israeli,7
Amsterdam,Scandinavian,4
Amsterdam,Romanian,1
Copenhagen,Colombian,1
Copenhagen,Arabic,5
Helsinki,Diner,9
Lisbon,Austrian,2
Geneva,Peruvian,10
Krakow,Belgian,3
Ljubljana,American,16
Luxembourg,Tibetan,4
Luxembourg,Portuguese,16
Lyon,Seafood,30
Lyon,Chilean,1
Madrid,Peruvian,80
Berlin,Japanese,161
Edinburgh,International,40
Edinburgh,Latin,5
Amsterdam,Tibetan,6
Barcelona,Malaysian,2
Berlin,Hungarian,4
Bratislava,Grill,16
Geneva,Colombian,1
Hamburg,Latin,13
Hamburg,Healthy,16
Lisbon,Turkish,11
Lyon,Korean,6
Barcelona,Korean,21
Barcelona,Hawaiian,6
Brussels,Ethiopian,3
Brussels,Tibetan,3
Geneva,Halal,25
Hamburg,Pakistani,5
Madrid,Spanish,3198
Madrid,German,20
Amsterdam,Spanish,81
Berlin,International,278
Copenhagen,Mediterranean,79
Dublin,Mediterranean,87
Hamburg,South American,18
Hamburg,Thai,36
Krakow,Czech,3
Madrid,Steakhouse,130
Athens,Bar,117
Barcelona,Italian,574
Luxembourg,Healthy,6
Lyon,International,28
Lyon,Tunisian,8
Madrid,Chinese,172
Madrid,Turkish,30
Madrid,Czech,1
Berlin,Brazilian,5
Brussels,Latin,12
Budapest,Steakhouse,20
Hamburg,Lebanese,12
Hamburg,Caribbean,3
Ljubljana,Latin,3
Luxembourg,Cuban,1
Madrid,Venezuelan,46
Berlin,Indian,151
Bratislava,African,1
Geneva,Gastropub,29
Lisbon,German,8
Madrid,Pizza,259
Madrid,Eastern European,11
Berlin,Turkish,143
Berlin,Armenian,4
Budapest,Mongolian,2
Copenhagen,Chinese,47
Dublin,Grill,18
Lisbon,Diner,9
London,African,66
London,Israeli,32
London,Central Asian,4
Luxembourg,Fast Food,17
Madrid,Sushi,158
Barcelona,Cafe,375
Barcelona,Cambodian,2
Berlin,Greek,98
Brussels,Mexican,13
Dublin,Persian,1
Edinburgh,Delicatessen,18
Lisbon,Chilean,1
London,Croatian,1
Amsterdam,Swedish,3
Bratislava,Steakhouse,11
Brussels,Fusion,44
Copenhagen,Indonesian,2
Dublin,Gluten Free Options,545
Geneva,Diner,8
Geneva,Cuban,1
Geneva,Kosher,1
Helsinki,Italian,81
Lisbon,Pub,99
Lisbon,Swiss,2
London,Ethiopian,26
Luxembourg,Indian,18
Lyon,Ethiopian,1
Brussels,Delicatessen,23
Budapest,Gastropub,26
Dublin,Street Food,10
Hamburg,Mediterranean,239
Hamburg,Japanese,53
Hamburg,Canadian,1
Ljubljana,Grill,13
London,Romanian,5
Lyon,Scandinavian,1
Athens,Sushi,26
Athens,Armenian,4
Barcelona,Xinjiang,1
Berlin,Caribbean,10
Bratislava,Sushi,20
Budapest,Greek,23
Copenhagen,Middle Eastern,35
Copenhagen,Pub,83
Dublin,Japanese,45
London,Danish,4
Madrid,Swiss,1
Brussels,Vegan Options,232
Budapest,Street Food,59
Budapest,Romanian,2
Dublin,Indonesian,1
Dublin,Polish,1
Helsinki,Pub,83
London,Polish,30
Dublin,Turkish,7
Edinburgh,Irish,1
Krakow,Italian,183
Krakow,Korean,6
Lisbon,Portuguese,1845
London,Indonesian,21
Luxembourg,South American,6
Lyon,Cafe,59
Madrid,Bar,373
Madrid,Polish,2
Amsterdam,Latin,27
Barcelona,Street Food,54
Berlin,French,136
London,American,685
London,South American,140
Lyon,African,11
Barcelona,Venezuelan,27
Barcelona,Albanian,1
Dublin,South American,7
Krakow,German,2
Ljubljana,Brazilian,2
London,Seafood,410
London,Cuban,11
Madrid,Japanese,266
Madrid,Polynesian,1
Athens,Thai,7
Berlin,Gluten Free Options,297
Bratislava,Minority Chinese,1
Bratislava,Romanian,1
Brussels,Cuban,2
Edinburgh,South American,7
Edinburgh,Persian,2
Geneva,Middle Eastern,34
Hamburg,Brew Pub,5
Helsinki,Russian,5
Krakow,Cuban,1
Luxembourg,Swedish,2
Amsterdam,Cuban,1
Athens,Fusion,7
Barcelona,Romanian,3
Berlin,Afghani,1
Brussels,Vietnamese,75
Brussels,Irish,6
Budapest,Seafood,36
Copenhagen,Italian,207
Hamburg,Diner,37
Helsinki,Israeli,2
Barcelona,Caribbean,26
Barcelona,Ethiopian,2
Berlin,Dutch,1
Brussels,African,26
Copenhagen,Contemporary,34
Dublin,Arabic,1
Hamburg,Colombian,2
Helsinki,Sushi,60
Helsinki,Brew Pub,5
Helsinki,Chinese,53
Helsinki,Spanish,21
Krakow,Fusion,23
Krakow,Argentinean,3
Luxembourg,Mexican,9
Madrid,Mexican,158
Barcelona,Central European,13
Brussels,South American,18
Krakow,Polish,454
Ljubljana,Croatian,3
Berlin,Austrian,55
Berlin,Spanish,112
Brussels,Indian,52
Ljubljana,African,1
Lyon,Street Food,24
Amsterdam,Italian,364
Barcelona,Cuban,11
Barcelona,Egyptian,2
Brussels,Romanian,2
Budapest,French,36
Copenhagen,Malaysian,2
Dublin,Thai,84
Geneva,South American,17
Helsinki,Halal,7
London,Mexican,215
London,Latvian,1
Luxembourg,Spanish,13
Luxembourg,Eastern European,1
Barcelona,Chilean,8
Edinburgh,Eastern European,15
Geneva,Albanian,1
Hamburg,Indonesian,2
Lisbon,Grill,58
Lisbon,Persian,2
London,Swedish,13
Luxembourg,Pub,38
Madrid,Bangladeshi,2
Athens,Mediterranean,699
Barcelona,Portuguese,7
Brussels,Fast Food,102
Budapest,Contemporary,22
Edinburgh,Indian,121
Edinburgh,Tibetan,1
Luxembourg,Pizza,51
Luxembourg,Wine Bar,10
Madrid,Thai,61
Amsterdam,Central Asian,1
Athens,Halal,6
Athens,Bangladeshi,3
Barcelona,African,10
Berlin,Native American,1
Bratislava,Barbecue,14
Brussels,French,483
Hamburg,Kosher,2
Hamburg,British,4
Krakow,Ukrainian,5
Ljubljana,Middle Eastern,6
Ljubljana,Greek,3
London,Argentinean,57
Lyon,Middle Eastern,31
Amsterdam,Delicatessen,37
Amsterdam,Malaysian,2
Barcelona,Halal,58
Brussels,Moroccan,43
Brussels,Korean,6
Dublin,Contemporary,49
Geneva,Mediterranean,241
Helsinki,Barbecue,16
Krakow,Mexican,8
Krakow,British,3
Lyon,Asian,95
Lyon,Lebanese,14
Athens,Steakhouse,46
Barcelona,Nepali,7
Bratislava,Cafe,48
Budapest,Brew Pub,8
Copenhagen,Argentinean,4
Dublin,Chinese,84
Dublin,Hungarian,1
Edinburgh,Ukrainian,1
Helsinki,Eastern European,6
Lisbon,Asian,154
Budapest,Vegetarian Friendly,705
Budapest,Persian,3
Lisbon,Brew Pub,14
Lisbon,Indonesian,1
Lyon,Indian,40
Madrid,Indian,80
Madrid,Tunisian,1
Amsterdam,Central European,50
Brussels,Egyptian,1
Budapest,Swiss,1
Copenhagen,Swedish,3
Dublin,Lebanese,13
Dublin,Fast Food,136
Helsinki,Korean,9
Ljubljana,Barbecue,30
Luxembourg,Polish,1
Lyon,Contemporary,25
Berlin,Middle Eastern,174
Berlin,New Zealand,1
Edinburgh,Japanese,34
Edinburgh,Polish,2
Hamburg,Vietnamese,40
Hamburg,Pub,63
Ljubljana,Wine Bar,14
London,Afghani,16
Lyon,Greek,6
Dublin,Albanian,1
Edinburgh,Contemporary,30
Edinburgh,Austrian,1
Helsinki,Healthy,11
London,Chinese,659
Amsterdam,American,142
Bratislava,South American,1
Copenhagen,Bar,118
Dublin,Sushi,44
Krakow,American,61
Lisbon,Pakistani,4
London,Venezuelan,7
Athens,Eastern European,7
Athens,Moroccan,1
Bratislava,Asian,33
Copenhagen,Diner,24
Geneva,Lebanese,30
Geneva,Brazilian,6
Helsinki,Middle Eastern,31
Luxembourg,Middle Eastern,7
Berlin,Sri Lankan,5
Dublin,Fusion,31
Hamburg,Hungarian,1
Krakow,Steakhouse,15
Ljubljana,Healthy,9
London,Gastropub,313
London,Barbecue,249
Lyon,Caribbean,4
Madrid,Cafe,313
Amsterdam,European,1418
Amsterdam,Georgian,1
Brussels,Steakhouse,31
Copenhagen,Native American,1
Helsinki,Japanese,61
Krakow,Vietnamese,11
Lyon,American,67
Brussels,Belgian,655
Brussels,Central European,20
Budapest,Wine Bar,44
Copenhagen,Israeli,3
Edinburgh,Wine Bar,27
Hamburg,German,315
Helsinki,Irish,1
Krakow,Nepali,1
London,Bangladeshi,155
London,Central American,59
London,Swiss,2
Lyon,Eastern European,8
Madrid,Latin,114
Barcelona,Croatian,1
Edinburgh,Soups,64
Edinburgh,Central European,3
Edinburgh,Singaporean,1
Hamburg,Bar,91
Hamburg,Irish,3
Lisbon,Japanese,108
London,Gluten Free Options,3271
London,Vietnamese,176
Amsterdam,Wine Bar,21
Amsterdam,Cajun & Creole,2
Athens,Egyptian,1
Barcelona,Barbecue,96
Copenhagen,Gluten Free Options,185
Copenhagen,Steakhouse,34
Copenhagen,Mongolian,1
Edinburgh,Chinese,83
Helsinki,Thai,36
Lisbon,Peruvian,10
Barcelona,Brew Pub,43
Berlin,Vegan Options,629
Berlin,Seafood,123
Bratislava,Arabic,2
Edinburgh,Pizza,135
Edinburgh,Belgian,1
Hamburg,Persian,7
London,Caribbean,126
Lyon,Georgian,1
Lyon,Colombian,3
Amsterdam,International,345
Amsterdam,Korean,10
Amsterdam,Austrian,1
Berlin,European,1253
Berlin,Belgian,1
Bratislava,Vegetarian Friendly,102
Budapest,Soups,67
Dublin,Czech,1
Hamburg,Central European,167
Lisbon,Fusion,53
Lyon,Thai,25
Amsterdam,Seafood,125
Brussels,Pizza,158
Brussels,Bangladeshi,2
Budapest,Healthy,65
Dublin,Ethiopian,1
Helsinki,Arabic,1
London,Steakhouse,246
Luxembourg,Italian,110
Luxembourg,Sushi,34
Lyon,Steakhouse,29
Lyon,Portuguese,3
Lyon,Irish,4
Amsterdam,Greek,28
Athens,Argentinean,2
Barcelona,Singaporean,3
Budapest,Asian,138
Budapest,Chinese,40
Copenhagen,Soups,6
Copenhagen,South American,8
Hamburg,Moroccan,3
Helsinki,Lebanese,6
Helsinki,British,2
Lisbon,Bangladeshi,3
Athens,Spanish,11
Barcelona,Uzbek,1
Berlin,Central American,27
Bratislava,Italian,77
Dublin,Nepali,9
Dublin,Central American,5
Hamburg,Indian,45
Krakow,Barbecue,10
Lyon,Chinese,44
Amsterdam,Singaporean,2
Athens,Czech,3
Brussels,Eastern European,4
Budapest,Delicatessen,15
Copenhagen,Peruvian,2
Dublin,Swedish,1
London,Italian,1722
London,Healthy,266
Luxembourg,Delicatessen,6
Madrid,Tibetan,1
Barcelona,Delicatessen,91
Barcelona,Chinese,149
Berlin,Arabic,19
Bratislava,Mediterranean,35
Brussels,Mediterranean,383
Dublin,European,651
Dublin,Indian,73
Lisbon,African,30
Ljubljana,Chinese,14
Amsterdam,Diner,33
Barcelona,Arabic,5
Bratislava,Delicatessen,4
Bratislava,Polish,1
Budapest,Moroccan,3
Copenhagen,Taiwanese,2
Edinburgh,Steakhouse,25
Lisbon,Brazilian,57
Ljubljana,French,2
Dublin,Seafood,47
Hamburg,Sushi,78
London,Colombian,18
Bratislava,British,3
Brussels,Tunisian,4
Budapest,Cuban,3
Geneva,Cafe,44
Krakow,Cafe,71
Krakow,Greek,4
Lisbon,Steakhouse,51
Ljubljana,Persian,1
